symbol,trade_date,open_price,high_price,low_price,close_price,volume
PYPL,2026-03-09,46.05,46.526,44.96,46.16,18908300
PYPL,2026-03-10,45.61,45.82,44.81,45.02,17575900
PYPL,2026-03-11,45.45,46.14,44.8,45.57,13794100
PYPL,2026-03-12,45.3,46.074,44.34,44.36,15293100
PYPL,2026-03-13,44.23,45.25,44.1715,44.9,13962455
BAC,2026-02-17,52.7418,53.249,52.3242,52.4435,35542400
BAC,2026-02-18,52.6921,53.3086,52.4932,53.06,30698900
BAC,2026-02-19,51.6182,52.5131,51.5386,52.4734,47148600
BAC,2026-02-20,52.2347,52.7916,51.5386,52.7617,33552000
BAC,2026-02-23,52.543,52.9606,50.6039,50.7829,50602500
BAC,2026-02-24,50.4548,50.594,49.1919,50.1266,53062700
BAC,2026-02-25,50.0471,51.479,50.0272,51.3994,41375000
BAC,2026-02-26,51.5884,52.3739,51.4492,52.006,52418500
BAC,2026-02-27,50.7929,51.121,49.0428,49.5499,77728700
BAC,2026-03-02,48.5058,50.1366,48.3069,49.53,40595200
BAC,2026-03-03,48.4859,50.2261,48.2274,49.6891,51242900
BAC,2026-03-04,49.6095,50.1266,48.9334,50.0172,34208500
BAC,2026-03-05,49.5399,50.1465,49.0527,49.53,39073900
BAC,2026-03-06,48.55,48.7,47.62,48.64,47016000
BAC,2026-03-09,47.94,48.15,46.77,47.9,62752800
BAC,2026-03-10,48.28,49.15,47.6,48.56,50271100
BAC,2026-03-11,48.36,48.65,47.78,48.52,42185800
BAC,2026-03-12,47.7,47.78,46.79,47.13,58354500
BAC,2026-03-13,47.52,47.8201,46.655,46.72,33340859
